ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002161.SZ,20210312,4.54,4.55,4.45,4.49,4.53,-0.040000000000000036,-0.883,46708.75,20968.808
002161.SZ,20210311,4.45,4.57,4.4,4.53,4.45,0.08000000000000007,1.7978,56757.94,25420.025
002161.SZ,20210310,4.6,4.65,4.43,4.45,4.59,-0.13999999999999968,-3.0501,75002.02,33816.818
002161.SZ,20210309,4.73,4.78,4.54,4.59,4.73,-0.14000000000000057,-2.9598,77355.18,35945.562
002161.SZ,20210308,4.88,4.94,4.71,4.73,4.83,-0.09999999999999964,-2.0704,93226.83,45191.661
002161.SZ,20210305,4.67,4.85,4.62,4.83,4.67,0.16000000000000014,3.4261,97597.57,46517.808
002161.SZ,20210304,4.74,4.76,4.65,4.67,4.73,-0.0600000000000005,-1.2685,50623.0,23798.334
002161.SZ,20210303,4.69,4.75,4.67,4.73,4.69,0.040000000000000036,0.8529,50460.08,23731.513
002161.SZ,20210302,4.78,4.83,4.65,4.69,4.75,-0.05999999999999961,-1.2632,62044.01,29247.454
002161.SZ,20210301,4.65,4.77,4.63,4.75,4.63,0.1200000000000001,2.5918,60054.18,28387.49
002161.SZ,20210226,4.59,4.69,4.55,4.63,4.62,0.009999999999999787,0.2165,46771.14,21749.784
002161.SZ,20210225,4.79,4.79,4.62,4.62,4.73,-0.11000000000000032,-2.3256,53193.33,24843.591
002161.SZ,20210224,4.7,4.84,4.68,4.73,4.68,0.05000000000000071,1.0684,58594.44,27861.38
002161.SZ,20210223,4.76,4.85,4.67,4.68,4.8,-0.1200000000000001,-2.5,75654.0,35748.733
002161.SZ,20210222,4.9,4.94,4.8,4.8,4.82,-0.020000000000000462,-0.4149,109215.12,53199.383
002161.SZ,20210219,4.68,4.85,4.58,4.82,4.6,0.22000000000000064,4.7826,113434.53,53775.505
002161.SZ,20210218,4.45,4.66,4.45,4.6,4.41,0.1899999999999995,4.3084,97151.17,44509.952
002161.SZ,20210210,4.38,4.5,4.33,4.41,4.39,0.020000000000000462,0.4556,58168.15,25671.057
002161.SZ,20210209,4.28,4.41,4.23,4.39,4.3,0.08999999999999986,2.093,65671.5,28419.29
002161.SZ,20210208,4.28,4.31,4.22,4.3,4.31,-0.009999999999999787,-0.232,53387.78,22771.543
002161.SZ,20210205,4.34,4.47,4.23,4.31,4.36,-0.05000000000000071,-1.1468,93359.74,40183.303
002161.SZ,20210204,4.41,4.42,4.21,4.36,4.45,-0.08999999999999986,-2.0225,93989.28,40480.689
002161.SZ,20210203,4.53,4.63,4.38,4.45,4.75,-0.2999999999999998,-6.3158,177942.05,79448.641
002161.SZ,20210202,4.34,4.75,4.32,4.75,4.32,0.4299999999999997,9.9537,156858.77,72644.93
002161.SZ,20210201,4.58,4.64,4.25,4.32,4.67,-0.34999999999999964,-7.4946,167464.06,73189.331
002161.SZ,20210129,4.77,4.79,4.46,4.67,4.77,-0.09999999999999964,-2.0964,119325.65,54569.339
002161.SZ,20210128,4.7,4.96,4.6,4.77,4.69,0.07999999999999918,1.7058,125716.73,60656.356
002161.SZ,20210127,4.9,4.93,4.62,4.69,4.91,-0.21999999999999975,-4.4807,101465.59,48354.507
002161.SZ,20210126,4.95,5.06,4.9,4.91,4.95,-0.040000000000000036,-0.8081,59139.47,29251.668
002161.SZ,20210125,5.07,5.1,4.94,4.95,5.08,-0.1299999999999999,-2.5591,74523.32,37199.399
002161.SZ,20210122,5.24,5.26,5.08,5.08,5.27,-0.1899999999999995,-3.6053,62765.02,32328.294
002161.SZ,20210121,5.19,5.38,5.15,5.27,5.22,0.04999999999999982,0.9579,61767.99,32631.511
002161.SZ,20210120,5.31,5.38,5.17,5.22,5.31,-0.08999999999999986,-1.6949,46639.77,24407.354
002161.SZ,20210119,5.3,5.35,5.21,5.31,5.27,0.040000000000000036,0.759,59672.06,31650.984
002161.SZ,20210118,5.19,5.33,5.18,5.27,5.22,0.04999999999999982,0.9579,44125.62,23275.272
002161.SZ,20210115,5.2,5.33,5.18,5.22,5.18,0.040000000000000036,0.7722,51158.2,26824.999
002161.SZ,20210114,5.09,5.23,5.0,5.18,5.08,0.09999999999999964,1.9685,70430.68,36227.981
002161.SZ,20210113,5.15,5.15,4.98,5.08,5.14,-0.05999999999999961,-1.1673,76331.1,38472.485
002161.SZ,20210112,5.07,5.18,5.01,5.14,5.07,0.0699999999999994,1.3807,56740.8,28836.814
002161.SZ,20210111,5.19,5.24,5.03,5.07,5.18,-0.10999999999999943,-2.1236,67411.0,34340.79
002161.SZ,20210108,5.02,5.32,5.01,5.18,5.1,0.08000000000000007,1.5686,60522.46,31321.475
002161.SZ,20210107,5.38,5.4,5.01,5.1,5.36,-0.2600000000000007,-4.8507,101171.79,52257.631
002161.SZ,20210106,5.56,5.61,5.36,5.36,5.56,-0.1999999999999993,-3.5971,56574.21,30753.792
002161.SZ,20210105,5.58,5.7,5.55,5.56,5.59,-0.03000000000000025,-0.5367,60218.46,33722.27
002161.SZ,20210104,5.61,5.63,5.55,5.59,5.61,-0.020000000000000462,-0.3565,51913.29,29017.415
002161.SZ,20201231,5.4,5.62,5.4,5.61,5.42,0.1900000000000004,3.5055,66117.92,36693.424
002161.SZ,20201230,5.45,5.47,5.35,5.42,5.42,0.0,0.0,34713.2,18816.259
002161.SZ,20201229,5.31,5.49,5.31,5.42,5.31,0.11000000000000032,2.0716,59268.01,32211.449
002161.SZ,20201228,5.45,5.45,5.3,5.31,5.39,-0.08000000000000007,-1.4842,50762.85,27265.67
002161.SZ,20201225,5.18,5.4,5.15,5.39,5.19,0.1999999999999993,3.8536,95337.1,50825.79
002161.SZ,20201224,5.44,5.45,5.18,5.19,5.45,-0.2599999999999998,-4.7706,100667.49,52943.301
002161.SZ,20201223,5.6,5.63,5.4,5.45,5.6,-0.14999999999999947,-2.6786,81136.51,44305.258
002161.SZ,20201222,5.79,5.81,5.6,5.6,5.78,-0.1800000000000006,-3.1142,50557.95,28647.236
002161.SZ,20201221,5.75,5.82,5.7,5.78,5.77,0.010000000000000675,0.1733,30647.92,17698.296
002161.SZ,20201218,5.85,5.87,5.77,5.77,5.85,-0.08000000000000007,-1.3675,32092.1,18642.252
002161.SZ,20201217,5.91,5.93,5.6,5.85,5.92,-0.07000000000000028,-1.1824,74432.88,43048.477
002161.SZ,20201216,6.07,6.1,5.91,5.92,6.07,-0.15000000000000036,-2.4712,41475.85,24785.688
002161.SZ,20201215,6.11,6.14,6.06,6.07,6.14,-0.0699999999999994,-1.1401,24169.24,14696.271
